class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.6701030927835051,0.010309278350515464,0.041237113402061855,0.061855670103092786,0.0,0.08247422680412371,0.12371134020618557,0.010309278350515464,0.0,0.0
displaced_people_and_evacuations,0.04263565891472868,0.810077519379845,0.01937984496124031,0.015503875968992248,0.0,0.011627906976744186,0.0,0.01937984496124031,0.05426356589147287,0.027131782945736434
infrastructure_and_utility_damage,0.003389830508474576,0.06779661016949153,0.6949152542372882,0.09830508474576272,0.0,0.0576271186440678,0.030508474576271188,0.01694915254237288,0.006779661016949152,0.023728813559322035
injured_or_dead_people,0.0007342143906020558,0.019823788546255508,0.012481644640234948,0.9229074889867841,0.009544787077826725,0.013950073421439061,0.0007342143906020558,0.0,0.0014684287812041115,0.018355359765051395
missing_or_found_people,0.008,0.016,0.0,0.248,0.72,0.0,0.0,0.0,0.0,0.008
not_humanitarian,0.024918743228602384,0.020585048754062838,0.0552546045503792,0.041170097508125676,0.0010834236186348862,0.7183098591549296,0.05417118093174431,0.010834236186348862,0.005417118093174431,0.06825568797399784
other_relevant_information,0.07152682255845942,0.03851444291609354,0.14305364511691884,0.04126547455295736,0.0041265474552957355,0.4195323246217332,0.17744154057771663,0.015130674002751032,0.016506189821182942,0.07290233837689133
requests_or_urgent_needs,0.0,0.0,0.03636363636363636,0.0,0.01818181818181818,0.01818181818181818,0.0,0.509090909090909,0.38181818181818183,0.03636363636363636
rescue_volunteering_or_donation_effort,0.004036326942482341,0.028254288597376387,0.014127144298688193,0.024217961654894045,0.011099899091826439,0.030272452068617558,0.04742684157416751,0.029263370332996974,0.7739656912209889,0.03733602421796166
sympathy_and_support,0.021212121212121213,0.02727272727272727,0.00909090909090909,0.01818181818181818,0.0030303030303030303,0.00909090909090909,0.006060606060606061,0.0030303030303030303,0.1,0.803030303030303
