class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,30,1,6,0,0,3,2,0,20,0
displaced_people_and_evacuations,4,30,2,0,0,2,1,1,0,0
infrastructure_and_utility_damage,0,15,196,12,0,4,5,9,6,1
injured_or_dead_people,1,8,11,244,1,12,2,22,2,0
missing_or_found_people,0,0,0,2,11,0,0,0,0,0
requests_or_urgent_needs,1,2,2,1,0,54,24,7,8,1
rescue_volunteering_or_donation_effort,4,50,32,14,2,86,886,48,176,10
sympathy_and_support,2,2,1,4,1,7,28,288,5,0
other_relevant_information,16,13,32,13,2,14,24,30,126,15
not_humanitarian,3,1,3,1,0,2,2,7,21,16
