label,precision,recall,f1,support,error_rate
caution_and_advice,0.4918032786885246,0.4838709677419355,0.4878048780487805,62,0.6774193548387096
displaced_people_and_evacuations,0.2459016393442623,0.75,0.3703703703703703,40,0.7727272727272727
infrastructure_and_utility_damage,0.6877192982456141,0.7903225806451613,0.7354596622889304,248,0.41839762611275966
injured_or_dead_people,0.8384879725085911,0.8052805280528053,0.8215488215488215,303,0.3028571428571429
missing_or_found_people,0.6470588235294118,0.8461538461538461,0.7333333333333334,13,0.42105263157894735
requests_or_urgent_needs,0.29347826086956524,0.54,0.3802816901408451,100,0.7652173913043478
rescue_volunteering_or_donation_effort,0.9096509240246407,0.6773700305810397,0.7765118317265556,1308,0.3653295128939828
sympathy_and_support,0.6990291262135923,0.8520710059171598,0.7680000000000001,338,0.37662337662337664
other_relevant_information,0.34615384615384615,0.4421052631578947,0.3882896764252697,285,0.7590822179732314
not_humanitarian,0.37209302325581395,0.2857142857142857,0.3232323232323232,56,0.8072289156626506
