_order	tweet_id	tweet_text	class_label
20	1168350595503349760	Mandatory evacuation issued for Georgias coastal counties	displaced_people_and_evacuations
30	1168395249368076288	Who will come to the aid of the Bahamas? Islands are fragile and isolated. Consider all those wealthy folks who enjoy vacations there? Will they help? We will see. Hopefully some will direct some of their $$$$ and talents toward them.	sympathy_and_support
56	1168371882950823936	Hurricane tracker: What was worst hurricane ever? ‘It was catastrophic’ #hurricane #dorian #trump #tornado #flooding #poweroutage #florida #hurricanedorian	other_relevant_information
72	1168152117506465798	@queenmidasss Good morning, the red does not mean hurricane conditions, it means theres a hurricane warning in place for the red colored islands. Also, because of the size of Dorian, New Providence will only be receiving the weather conditions from the outer bands, which are generally.	other_relevant_information
81	1168119296960212992	#Dorian seems to become one causing a lot of trouble and concern. Areas to watch by @NWSNHC may not eat attention in public media now, but they are really essential later on.	other_relevant_information
119	1167826986397556736	A continued eastward shift in the projected track of Hurricane #Dorian. This means FL, GA, SC, NC, and even VA need to watch this storm closely; especially the coastal areas. Im concerned about coastal NC where some communities are still recovering from #Florence. #ncwx #scwx	other_relevant_information
144	1168172855936393216	WHAT a RELIEF!! Hurricane Dorian is NOW expected to BYPASS Florida &amp; SLAM the CAROLINAS!! I have NO PROPERTIES THERE, so WHO CARES??!! Pence ALREADY in Poland so I MIGHT as WELL go GOLFING!!	not_humanitarian
226	1168269379949268994	Omg Lord please protect the ones who are affected by this and I pray that they’re able to rebuild their beautiful homes and to go back to their everyday lives. In Jesus name I pray AMEN	sympathy_and_support
294	1168198439626301446	#NC #SC Customers: An important update from Storm Director Jason Hollifield. Hurricane #Dorian could bring strong winds, heavy rainfall and flooding to the Carolinas. Prepare now, stock an emergency supply kit to save valuable time later. Stay updated at:	caution_and_advice
309	1167866227529674753	We stand in prayer for those areas in the path of Hurricane Dorian. Especially our members and friends in central Florida. We stand ready to support in any way we can. One family one church. #myccc	sympathy_and_support
334	1168361613948329984	RT @omarmuniz9: #hurricaneDorian #Bahamas #Category5 - seek shelter	other_relevant_information
349	1168331940014878721	What if Gay Wrath was a storm?	not_humanitarian
371	1167676794008473600	I bet trump hopes his dump is damaged! Hes probably giddy at the thought of filing fraudulent claims for hurricane damage on typical maintenance items that he doesnt want to pay for, like a new roof. We know hes a grifter.	infrastructure_and_utility_damage
379	1167917793645219840	Latest #Dorian track showing a northward turn before grazing the Florida coastline, but north of West Palm Beach should not let their guard down as those areas are still in the cone of uncertainty. Greater threat may be farther north. #abc7ny	other_relevant_information
449	1168251292055166982	This migraine is no joke today mentally exhausted my thoughts and prayers are with the whole east coast and the Bahamas #HurricaneDorian #georgia	sympathy_and_support
523	1167658541383081984	#HurricaneDorian Orange County will open 12 emergency shelters/evacuation centers on Sunday at 8 a.m. ahead of Hurricane Dorian: CNN #dorianhurricane #Florida #travelalert #OrangeCounty	rescue_volunteering_or_donation_effort
539	1168157911391989763	#HurricaneDorian, which intensified into a Category 5 storm with peak winds of 160 mph is now projected to make catastrophic” landfall in the #Bahamas. Assist with preparation, emergency relief, and recovery efforts today! #Dorian Donate Now »	caution_and_advice
582	1167860873278324736	#FakeNews You can see the tops of buildings at the bottom of the gif.	other_relevant_information
620	1168208370001514497	Our thoughts and prayers are with the people of the Bahamas. Praying that you stay safe through this disaster.	sympathy_and_support
628	1167544315985285120	After hurricanes, it can take days before government aid shows up. Many of South Florida’s low-income communities suffered after Hurricane Irma. Now as Dorian makes its way toward Florida, this grassroots response network hopes to reach people more quickly	other_relevant_information
657	1168360072256376832	#Dorian2019: A desperate cry for help from #Abaco #Bahamas #Hurricane #Dorian. PLEASE PRAY FOR US. Lord Help Us. Please pray for my 4 month old baby. Some people didnt get to make it. The water took them. ὢ2ὢ2ὢ2ὢ2 #HurricaneDorian #HurricaneDorian2019	sympathy_and_support
696	1168320417133674502	Upstate responders prepare to help with relief amid Dorian	rescue_volunteering_or_donation_effort
702	1167792725749575690	@xobrianadej Dorian is 400 miles wide too and is about to be a cat 5 already. It can always shift at anytime depending on the water temps it runs into before us.	other_relevant_information
762	1167650311797792768	@CTVNews Don’t apologize @AKimCampbell, I certainly do hope Trump resorts in Florida get destroyed by #HurricaneDorian, that would be the least the big man upstairs could do for all the shite Trump has stirred up these past 2 years! #cdnpoli	other_relevant_information
764	1168229093420044289	@pulte If you can, donate your airline miles to #HurricaneDorian victims.	requests_or_urgent_needs
779	1167600816305451013	#BREAKING: Hurricane Dorian is now a Category 4 hurricane, where winds could reach anywhere from 130 to 156 mph, powerful enough to tear off roofs and cause severe damage	caution_and_advice
780	1167998851975802880	Saturday 11 pm update on #Dorian - the storm is expected to slow down right over the Bahamas as a category 4 storm, bringing flooding downpours and extreme winds. The track through midweek remains about the same with the track hugging the Carolina coast.	other_relevant_information
799	1168284820587327488	This breaks my heart on so many levels. These islands don’t have anywhere near the proper infrastructure to withstand such a storm. Keep the Bahamas, their people, and animals in your prayers today please. ὉB	sympathy_and_support
812	1168341861179768834	Horrible outcomes of Hurricane Dorian #Dorian	other_relevant_information
816	1168298916342681600	@JamesCraigmyle @AdieCurry Prayers to all in Dorians damage path! Surving a hurricane is not fun. Ive been through it with hurricane Ike @	sympathy_and_support
823	1167892741969199106	RT @FirstGentleman: Storm, Mistress of the Elements, commands you!	not_humanitarian
844	1168327386871541760	Our officers are getting prepped and briefed for keeping our residents safe during the hurricane. #Dorian2019 #Dorian	other_relevant_information
866	1168249798052515841	RT @MeloniaSherban: Please, please give to @WCKitchen if you can. The need will be great. ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7	rescue_volunteering_or_donation_effort
930	1167575020740194304	The mayor of Puerto Rico sends her thoughts and prayers #epiclevelkarma	sympathy_and_support
967	1168199229229207553	#DORIAN The sea advances over the Abaco Islands in the Bahamas, generating serious floods.	caution_and_advice
983	1168312807315652608	#BREAKING: Hurricane Dorian packing 185 mph winds at 8 p.m., Hurricane Warning from Jupiter to Brevard/Volusia County line	caution_and_advice
1008	1167583628869668864	Deal! After its flattened he gets no government aid to rebuild.	not_humanitarian
1093	1168296330151772160	East Tennessee Volunteers are stationed in Hurricane Dorians path in Florida, lending a hand and preparing for the worst.	rescue_volunteering_or_donation_effort
1141	1168253966460887041	Evacuations ordered for parts of Floridas east coast ahead of Hurricane Dorian	displaced_people_and_evacuations
1151	1167748834379870208	.@WvilleElectric is sending four lineworkers to Florida to help restore power after #HurricaneDorian makes landfall. They plan to bring about 180 cases of bottled water to help those impacted. Heres how you can help:  #publicpower	rescue_volunteering_or_donation_effort
1157	1168400454268506112	This is an incredibly strong hurricane and I fear for the communities in its path. Glad to be part of this tireless tram hazard and data scientists working to provide critical analysis to areas threatened and impacted by #Dorian and support operations in the Bahamas	other_relevant_information
1167	1167679869888737281	News: Dorian could strengthen to a category 4 before making landfall”. Florida has declared a state of emergency” FAMU:	caution_and_advice
1182	1168258657274028032	Jeffrey Epstein’s private island in the U.S. Virgin Islands has been completely destroyed by #HurricaneDorian	infrastructure_and_utility_damage
1188	1168367534934020100	In a country still struggling to recover from a litany of major storms in recent years, targeted evacuations had been ordered. Authorities and volunteers aided with transit by sea and land.	displaced_people_and_evacuations
1192	1167835958466797569	RT @MikeBurnsInSC: Hurricane #Dorian: State of emergency declared ahead of potential SC landfall  via @GreenvilleNews	caution_and_advice
1235	1168293754622685195	@USAA_help I’m need assistance with my insurance coverage please. I live in Jacksonville Florida and we need to evacuate for Hurricane Dorian	displaced_people_and_evacuations
1296	1168260367887294467	Hurricane Dorian is a Category 5 with sustained winds of 175mph and gusts over 200mph. Its nearing the Abaco Islands and will bring storm surge of 15-20 feet above normal tide levels, bringing extreme destruction with it	other_relevant_information
1375	1167800070135341061	AMS opens camping facilities to Dorian evacuees | News | Media | Atlanta Motor Speedway	displaced_people_and_evacuations
1487	1168235635733401606	thoughts and prayers to everyone in the bahamas. dorian is doing the absolute most ὤ1	sympathy_and_support
1504	1167532932560502794	A rare instance where I agree with Donald Trump. If you are in the areas where Hurricane Dorian is hitting you, GET OUT OF THE AREA TO SAFETY QUICKLY!	other_relevant_information
1506	1168217270147006464	GUARANTEED, even though its (for a change) true #Trumps going to ride hurricane #Dorian is the strongest one ever. Since the 60s, Ive never seen one this strong. My concern with 185mph winds w/220mph wind gusts that the Bahamas will be destroyed.	other_relevant_information
1577	1167509036788584449	GSAs role in #hurricane relief efforts includes responding to multiple leasing space requests for responder support camps, call centers, donation management warehouses, and parking/staging areas. Learn more:  #hurricaneprep #severewx #Dorian	rescue_volunteering_or_donation_effort
1618	1168145151476346880	@Socchi1994 Oh yeah Right before Michael.. between the 2, it destroyed our house, and Im inland. :/ Dorian has been upgraded to a CAT 5.	infrastructure_and_utility_damage
1659	1168248599995650049	#ICYMI - @ATT is waiving overage charges on mobile services, giving unlimited talk, text &amp; data for @ATT wireless &amp; @ATT PREPAID customers in affected areas in Florida from Sept. 2 – Sept. 8. #Dorian	rescue_volunteering_or_donation_effort
1672	1167490005624872960	As #HurricaneDorian approaches we encourage all to search their Evacuation Status HERE: discover/pbcgov.org/publicsafety/dem/Pages/Hurricane.aspx	displaced_people_and_evacuations
1806	1167775805956657152	Maybe not as much of a wind event as it will be a rain and flooding event. But a lot of trees will come down with that much rain. Falling trees means power lines knocked down. Prepare! #dorian	infrastructure_and_utility_damage
1898	1168321687642763264	Anyone living near, can you help this person out please? ὤF ὄ7 #HurricaneDorian Please RT Ὁ9 @maddow @CNN @Lawrence @BetteMidler @DearAuntCrabby @funder @mmpadellan @thekjohnston @girlsreallyrule @thehill @itsJeffTiedrich @johnpavlovitz @joncoopertweets @kylegriffin1	requests_or_urgent_needs
1938	1167562451593945089	State of Emergency issued in North Carolina ahead of Hurricane Dorians landfall in U.S.; price gouging law in effect	caution_and_advice
1967	1167549682131906560	Wrong,hell! All my thoughts and prayers are with the hurricane!	sympathy_and_support
1971	1168405758246977536	Dorian is only moving at 5 mph, 175 winds. Tons of rain and destruction.	caution_and_advice
1991	1167822129217196032	RT @JWPowerYourLife: Join me in sending our thoughts and prayers to all those in the wake of Hurricane Dorian. We are with you. Be safe! ht	sympathy_and_support
2016	1167550467536240647	All the trucks heading to flood with us to help with Dorian??!!#hurricanedorian	rescue_volunteering_or_donation_effort
