label,precision,recall,f1,support,error_rate
caution_and_advice,0.6991786447638604,0.742639040348964,0.720253833950291,917,0.4371900826446281
displaced_people_and_evacuations,0.7870967741935484,0.820627802690583,0.8035126234906697,446,0.3284403669724771
infrastructure_and_utility_damage,0.38235294117647056,0.8705357142857143,0.5313351498637602,224,0.6382189239332097
injured_or_dead_people,0.9024390243902439,0.8894230769230769,0.8958837772397094,208,0.18859649122807018
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.21794871794871795,0.4473684210526316,0.2931034482758621,38,0.8282828282828283
rescue_volunteering_or_donation_effort,0.9315068493150684,0.7891682785299806,0.8544502617801046,1034,0.25411334552102377
sympathy_and_support,0.8224852071005917,0.8424242424242424,0.8323353293413175,330,0.28717948717948716
other_relevant_information,0.40932642487046633,0.17752808988764046,0.24764890282131663,445,0.8586762075134168
not_humanitarian,0.8250336473755047,0.8261455525606469,0.8255892255892257,742,0.29701834862385323
