_order	tweet_id	tweet_text	class_label
49	1040708325145497601	RT @StarNewsVarsity: Michael Jordan already setting up hurricane relief efforts for Wilmington and all of North Carolina.	rescue_volunteering_or_donation_effort
109	1040558073067266049	Looking at recent predicted path, and strength, hurricane Florence is unlikely to cause much damage, if any	other_relevant_information
125	1041584215299645440	Sheriff Issues Warning After 4 Men Arrested for Looting Evacuated North Carolina Homes	other_relevant_information
148	1039583663430807553	Whoa. Craven County (includes New Bern, isnt a county with beachfront areas) has ordered a mandatory evacuation #HurricaneFlorence	displaced_people_and_evacuations
151	1040614344617160705	Can you recommend anyone for this #job in Florence, SC?  #operations #Hiring #CareerArc	not_humanitarian
192	1040735108452544513	Via @bertsorin - Sometimes food, drink, or a song will emotionally take you to a different time and space. I haven’t had a @firehousesubs in years, but was brought one for lunch a day or	not_humanitarian
193	1039834476690526208	Hurricane Florence is a monster storm of a lifetime. Damage from winds &amp; flooding will be of biblical proportions. Flooding will occur inland, not just on the coast. Power will be out for weeks. Flooded manure pit &amp; industrial sites will contaminate homes.	infrastructure_and_utility_damage
257	1040550355233370112	Sending late night #shoutout to #SCGuard Soldiers in A-Co, 218th Brigade Support Bn from Orangeburg who picked up cots &amp; blankets to transport to shelters for @RedCrossSC. The items will support individuals who had to evacuate for #HurricaneFlorence. #TeamSC @NationalGuard	rescue_volunteering_or_donation_effort
287	1042008309140779008	RT @rodryanshow: Drop Hurricane Donations off at TDECU statium, Get Free Tickets!!	rescue_volunteering_or_donation_effort
290	1041417066648100865	Macebells building young athletes! @ EDGE Performance Training, LLC	not_humanitarian
308	1039898646643400705	SUPPORT DIRECT MUTUAL AID! Hurricane Florence will devestate parts of the east coast and beyond soon. The state and bureaucratic NGOs cannot be relied upon to help the folx affected. This fund will help folx in the most direct ways possible! PLEASE SHARE	rescue_volunteering_or_donation_effort
326	1042012801412354048	#Floods of #pure #LIES are upon us as #MSM #CO2 #Global Warmista Filth claim #NEW(LOL) extra #Extreme #HurricaneFlorence #HurricaneLane #hurricane #wx #storms #TyphoonMangkhut#Alarm are caused by CO2. FACT cause is 0% CO2 &amp; 100% Natural with Wild #JetStream #MIA enhancement	not_humanitarian
341	1040527723754606592	4:53 AM Eastern Friday Morning September 14,2018 My vehicle is now Parked at my Workplace @ Hampton Roads Bridge–Tunnel	not_humanitarian
354	1040195095625191425	Old Limestone Mixing Water. prepares for Thirsty Thursday and the slow moving Hurricane Florence. Hopefully all in its way have taken shelter, higher ground and are well stocked for	other_relevant_information
366	1039973681584394241	#wire #pinkflag #original #usa @ Double Decker Records	not_humanitarian
402	1040721084708990977	Thanks to Judge Carlos Jané and Roy McDonald for donating bottled water so Black Lotus Tattoo can take it to storm victims. #hurricaneflorence #prayforthecarolinas voteroymcdonald	rescue_volunteering_or_donation_effort
482	1039406842441592832	@CNN Thoughts and Prayers to everyone in the path of Hurricane Florence. ὉC✌	sympathy_and_support
542	1039921092322844672	Hey Hurricane Florence, if I sacrifice the 6 pints of ice cream in my freezer to you, will you spare Wilmington some damage? Seriously, theyre all good flavors and they wont make the evacuation commute to VA.	not_humanitarian
