_order	tweet_id	tweet_text	class_label
60	903408374422831105	More than a million children have been impacted by #HurricaneHarvey. Please donate to help provide essential relief:	rescue_volunteering_or_donation_effort
74	902655205300428800	Be aware of internet scams asking for money for Hurricane Harvey victims. Never give out your credit card information to a stranger online.	other_relevant_information
152	903595209648480256	A make shift animal shelter is set up outside the Katy Mills Mall. 50 dogs and cats here now. Hundreds more expected later today. #Harvey	rescue_volunteering_or_donation_effort
173	902646218810994688	ALL #PimpinJoy sales benefit #HurricaneHarvey flood victims. 🙏🏼❤️ @theShopForward #HopeForHouston #StandTogether	rescue_volunteering_or_donation_effort
262	902684820156944386	#HurricaneHarvey Hell: Fish Swim in Homes &amp; Alligators Go Door to Door -  #HoustonStrong	other_relevant_information
274	903053663463247872	Can the Internet of Things save a city from flooding?  #IoT #weather #Harvey	other_relevant_information
349	901800698593107968	Made it through last night. Had to dig a trench around side of house. Already know of a few co workers flooded. #HurricaneHarvey	not_humanitarian
558	903614026680332288	800 more #Harvey evacuees arrive to mega shelter at @KBHCCDallas overnight. Approx 1000 now staying there/receiving care .@KRLD	displaced_people_and_evacuations
586	903657487387295745	UPDATE :Hurricane Harvey-related death toll rises to 39	injured_or_dead_people
730	901441778833862658	After daylight - images of storm damage from #Rockport. All pics from @StormVisuals. #HurricaneHarvey	infrastructure_and_utility_damage
753	902894181483515904	Houstons legal aid office burned during #Harvey. Donations can be made here:	rescue_volunteering_or_donation_effort
772	902715911404212224	We are registered as a Hurricane Harvey evacuation location.with FEMA’s website EMERGENCY LODGING ASSISTANCE	displaced_people_and_evacuations
776	902646678406270976	Praying for the victims of hurricane harvey in Texas. Such a heavy situation that impacts everyone	sympathy_and_support
800	902904684234633216	@wpbktim We are going to have a Hurricane Harvey fundraiser b/f the Lincoln/Garrard game on Friday night. Could you help us spread the word.	rescue_volunteering_or_donation_effort
803	903357172066775040	The fact that this isnt all for the Red Cross is SO IMPORTANT. As a Texan, thank you Phillip!	rescue_volunteering_or_donation_effort
811	901792795580616704	The CBS affiliate in #Houston is being forced to move operations upstairs, due to flooding in the studio/newsroom #Harvey @KHOU @WAFB	not_humanitarian
847	902849176463175681	While Hurricane Harvey has caused catastrophic damage in Texas, lest we forget Hurricane Katrina exactly 12 years ago.	infrastructure_and_utility_damage
888	902847003599802369	This is how you take action. Wtf is thoughts and prayers gonna do. Not shit	sympathy_and_support
908	901806759161069569	One dead, several injured after Hurricane Harvey made landfall over Texas Gulf Coast	injured_or_dead_people
933	901751564179836929	RT @abc13weather: Tornado Warning for Fort Bend County until 5:45am.	caution_and_advice
996	903746875731443715	Steph Curry donates $118K to Hurricane Harvey relief after knocking down 18 three-pointers 👏 🎥:	rescue_volunteering_or_donation_effort
1014	903744784191422465	Eli Young Band, Kacey Musgraves and More Rally to Support Hurricane Harvey Victims	sympathy_and_support
1037	903060135815159808	U.S. Rep. Beto ORourke will host a rally Thursday to collect supplies to help survivors of Hurricane Harvey.	rescue_volunteering_or_donation_effort
1040	902651591194501120	Praying for all affected by Hurricane Harvey; victims &amp; rescue workers. [blogpost: What Harvey Can Teach Us]	sympathy_and_support
1058	902607065658613761	ExxonMobil refineries are damaged in Hurricane #Harvey, releasing hazardous pollutants |	infrastructure_and_utility_damage
1092	902661157214937088	Hurricane Harvey Damage Pushes Gas Prices to a Two-Year High	other_relevant_information
1106	903616996167880704	One of my closest friends lives in #Houston &amp; has a direct connection to a family in need. Please consider donating!	rescue_volunteering_or_donation_effort
1147	903429160382726144	We had so much help today. I am overwhelmed. We need more help tomorrow. I am also sunburned and Chad can barely walk. #Houston #Harvey	rescue_volunteering_or_donation_effort
1167	902650659417317376	You can donate directly to the Redcross efforts for Hurricane Harvey at the link below.	rescue_volunteering_or_donation_effort
1170	902644689408491522	Brewery pauses beer production to send water to Hurricane Harvey victims	rescue_volunteering_or_donation_effort
1227	903743763159408640	We’re working to provide help to educators &amp; families after #Harvey. Some have lost everything.	rescue_volunteering_or_donation_effort
1324	902650616643760129	When a guy asks for your number this weekend ladies take his phone &amp; text HARVEY to 90999 to donate $10 to Hurricane Harvey relief.	rescue_volunteering_or_donation_effort
1342	902657646955659265	Cherokee Nation Marshal Service swift water rescue team joining Texas rescue efforts after #HurricaneHarvey #CherokeeNationCommunities	rescue_volunteering_or_donation_effort
1352	902656100645965824	Houston police officer, part of #Harvey response, confirmed dead	injured_or_dead_people
1375	903750093068750848	Houston Man Electrocuted &amp; Killed In Floodwaters While Checking On His Sisters Cat: He Probably  #Celebrity #News	injured_or_dead_people
1399	902655505478418432	Verizon commits $10 million to support Hurricane Harvey relief efforts  (news release)	rescue_volunteering_or_donation_effort
1415	903560959159087105	#FreeLegalHelp For Hurricane #Harvey Survivors For more information: call (800) 504-7030 or visit	rescue_volunteering_or_donation_effort
1546	902877360357244928	Dan Avery writes, Thousands are being displaced by Hurricane Harvey, but Evangelical leaders are fixated on the	displaced_people_and_evacuations
1552	902853205083738112	All proceeds from our #TexasForever shirts will go toward restoring homes &amp; lives in the wake of #HurricaneHarvey:	other_relevant_information
1570	903669024453779457	Our #EMS division is proud to continue transferring patients from aircraft to medical facilities. These tiny babies @utmbhealth bound.	rescue_volunteering_or_donation_effort
1644	903697795466616833	.@alfranken .@JohnCornyn .@fcc @AjitPaiFCC How can internet NOT be utility when it is ONLY contact info provided by @GovAbbott for #harvey?	not_humanitarian
1649	901746439436554240	Hurricane Harvey rolls over Texas coast, destroying homes #D27	infrastructure_and_utility_damage
1741	903752875750383622	Texas Grapples with Unprecedented Catastrophe as Hurricane Death Toll Rises  #HurricaneHarvey	injured_or_dead_people
