class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,95,4,19,1,0,5,6,0,20,4
displaced_people_and_evacuations,0,90,0,0,0,1,0,1,0,0
infrastructure_and_utility_damage,5,10,870,5,1,24,12,20,25,27
injured_or_dead_people,1,2,4,174,0,5,1,9,2,13
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
requests_or_urgent_needs,2,1,12,3,5,373,58,23,14,7
rescue_volunteering_or_donation_effort,3,14,16,3,4,91,1103,23,111,16
sympathy_and_support,4,0,2,1,3,48,88,310,7,7
other_relevant_information,62,27,225,7,3,153,132,66,262,160
not_humanitarian,5,0,11,2,0,27,5,17,20,102
