_order	tweet_id	tweet_text	class_label
0	914134332226330625	San Juan: Trump lashes out with good reason. #PuertoRico has NEVER received more aid faster.	other_relevant_information
21	913340133700767744	In the USVI, Hurricane Maria Drowned after Irma Destroyed	infrastructure_and_utility_damage
27	912389279703330816	RT @washingtonpost: ‘If anyone can hear us  help.’ Puerto Rico’s mayors describe widespread devastation from Hurricane Maria /	requests_or_urgent_needs
51	914982042479267846	RT @tinafoleymuelle: My thoughts are with all who are suffering in #LasVegasShootings and still trying to find some normalcy after #Hurrica	other_relevant_information
52	911752479968284673	RT @LordHDL: Reminder that millions of people, my parents included, need aid!	requests_or_urgent_needs
143	911736634948931586	They are also running low on food. Not acceptable as part of the U.S.	requests_or_urgent_needs
168	911672501360562176	@realDonaldTrump Dont you have something better to do than pick on athletes? Last I heard Puerto Rico was destroyed by Hurricane Maria.	not_humanitarian
186	913595773601935360	Hurricane Maria’s death toll in Puerto Rico is higher than official count. W/O communication I am sure it will rise.	injured_or_dead_people
198	914115636229492743	You can donate directly to Puerto Rico relief through Google by just googling Hurricane Maria. 30 seconds.	rescue_volunteering_or_donation_effort
217	914170820217290752	RT @OGHS_at_UCC: UCC Disaster Ministries grants first $10,000 to church partner for Puerto Rico relief in Hurricane #Maria wake. .	rescue_volunteering_or_donation_effort
278	910536353221357569	Oh my God! Please pray for the people of Puerto Rico This is terrifying!	sympathy_and_support
283	910719743648260096	Roofs are ripped off buildings in San Juan, Puerto Rico, as Hurricane #Maria bears down on the island.	infrastructure_and_utility_damage
317	911557349860630528	RT @MSN: Dam Fails as Puerto Rico Endures More Flooding from Hurricane Maria	other_relevant_information
364	913773356004110337	Food and water en route to #PuertoRico and #StCroix by @usairforce:	requests_or_urgent_needs
382	910551350160785408	Aerial Footage Of #Dominica Captures The Destruction Of Hurricane Maria	infrastructure_and_utility_damage
396	911738451086790658	They are in 2468 Windy Hill Rd in Marietta, GA and are accepting donations for Hurricane Maria relief for Puerto Rico	rescue_volunteering_or_donation_effort
407	914206466713767936	About Persons with Disabilities After The Hurricane Maria Impacted Puerto Rico By: Yessica M. Guardiola Marrero	other_relevant_information
480	913641932043235328	Working w/ @FeedingAmerica, @USDA, @salvationarmynj &amp; State of New Jersey to deliver nourishing food to those affected by #HurricaneMaria. #PuertoRicoRelief	rescue_volunteering_or_donation_effort
482	913714144494448640	RT @MeowMiya88: Puerto Ricos stray dog packs killed by hurricane  #FoxNews #dogs #HurricaneMaria	other_relevant_information
511	911696384029450240	NY leaders head to ravaged Puerto Rico with supplies and love after Hurricane Maria	rescue_volunteering_or_donation_effort
632	914157716158816257	How to Find or Reunite with Loved Ones Heres how to help the federal response to Hurricane Maria  via @fema	sympathy_and_support
633	912176517483917312	@rosieogrady53 @DavidBegnaud @DeFede How about following the facts &amp; the relief efforts BEFORE casting judgment? Better yet - get off your ass &amp; help #PuertoRico #HurricaneMaria	rescue_volunteering_or_donation_effort
637	913912868856324096	@ATT @TMobile Need to pitch in, build the infra needed, please let us you are doing to recover communications #HurricaneMaria	requests_or_urgent_needs
798	910609079403413504	Hurricane #Maria now a Cat 2 with winds at 110 mph; catastrophic” flash flooding occurring in portions of Puerto Rico, per @NHC_Atlantic	caution_and_advice
841	913491901654949889	Want to help #HurricaneMaria survivors in #PuertoRico? Slow Roll Buffalo is collecting donations tonight. @wgrz	rescue_volunteering_or_donation_effort
872	910679779443183616	FLOOD WATERS | Video shows flood waters from Hurricane Maria rushing down the street in Guayama, Puerto Rico.	other_relevant_information
946	912978228641484800	MT @SurfaceWarriors: #USNavy and @USMC providing around-the-clock Hurricane #Maria relief -  via @USNINews	rescue_volunteering_or_donation_effort
973	912463475938652160	RT @PuertoRicoPUR: Many roads are still blocked, no power, no water #HurricaneMaria PUERTO RICO NEEDS HELP NOW!	infrastructure_and_utility_damage
980	914188922426499072	RT @Alex_Arpaia: in case youre still trying to figure out where to donate to help PR, this is a very helpful vetted list.	rescue_volunteering_or_donation_effort
1085	913239987981832192	US Navy evacuates residents from storm-devastated Dominica  Days after Hurricane Maria levelled countless buildings	displaced_people_and_evacuations
1103	912365878204932096	RT @PuertoRicoPUR: We need drinking water #HurricaneMaria Please help us!	sympathy_and_support
1105	914941590602260480	Albertans, supplies destined for hurricane-ravaged #Barbuda depart from Calgary @SamaritansPurse  #yyc #Irma #Maria	rescue_volunteering_or_donation_effort
1119	912169137924919297	RT @JanetDFoster: My heart goes out to Puerto Rico! There are people fighting for their lives after Hurricane Maria and all 45 does is beli	sympathy_and_support
1124	910770024918519808	@JohnLegere After Hurricane Maria we are unable to comunicate with our families. The T-Mobile Newtwork has completly fallen here in PR.	other_relevant_information
1125	911968621374640128	Official Needs List for Dominica (re Hurricane Maria) Food Water Roofing materials Lumber Plywood Windows Doors	requests_or_urgent_needs
1312	913832918669242369	Death toll from Maria likely to exceed 100 in Puerto Rico, but true toll may never be known.	injured_or_dead_people
1354	910808789242318849	Hurricane Maria destroys homes, causes flooding in Puerto Rico	infrastructure_and_utility_damage
1373	913757345548849152	@nevergiveup264 Hello, Gigi. Were donating $5m and working to help our associates and to deliver supplies. Learn more here:  -Dean	rescue_volunteering_or_donation_effort
1385	914019798971043840	abcnews: #Celebrities share #awkward #teen photos to raise funds for #HurricaneMaria relief  #PuberMe #PuertoRicoRe	other_relevant_information
1392	911679255297314818	Whats .@POTUS doing 2 help #PR other than tweeting crap at sports figures and try 2 start a war w/ #NK #HurricaneMaria #UNFIT2LEAD	not_humanitarian
1407	910676131518357504	RT @5secs_ofmashton: the @ pack are raising money for hurricane maria relief. guys please donate! even if its £1 it’ll help! /	rescue_volunteering_or_donation_effort
