_order	tweet_id	tweet_text	class_label
15	797915816972795904	Hope no more victims #eqnz	sympathy_and_support
16	797990642244694017	Our prayers are to those who are badly affected with that powerful earthquake. Stay strong New Zealand. #nzearthquake #eqnz #nzquake #NZ	sympathy_and_support
21	797877041760604160	RT @ignis_fatum: #Breaking Cheviot earthquake upgraded to 7.9 (!!!) #NewZealand #eqnz	other_relevant_information
23	771477690972942336	The tsunami alert has finally lifted after the 7.1 magnitude earthquake. All our surfer friends on the east cost #staysafe	caution_and_advice
34	797873628154970113	@EthanDolan Im so tired because weve had massive earthquakes and tsunami warnings in New Zealand, I have work soon as well ὢD	caution_and_advice
43	797793237767319552	RT @SquirrelyRon: Remember folks, the 2011 Japan tsunami started out at 3 meters. So 2 meters could still escalate higher. #eqnz	caution_and_advice
61	800571809821138944	.@SECNAV addresses crew of #USSSampson congratulating them on their outstanding performance including earthquake relief in #Kaikoura #EQNZ	rescue_volunteering_or_donation_effort
74	797962975805980673	that one was a bit rolly - building swayed for aaaaages. Rated 6.6 by Geonet (at this stage) #eqnz #nzearthquake	other_relevant_information
95	797804567781965828	magnitude 7.5 severe earthquake has struck 15 km north-east of Culverden at 12:02am. Woke us up in Lower Hutt! Tsunami alarm just stopped.	caution_and_advice
173	797818443911155712	RT @dunnokev: The noise of a tsunami siren going off- sounds frightening even when sitting comfy on other side of the world. #EQNZ /	not_humanitarian
183	797981893245341696	RT @Willuknight: #eqnz #Wellington rail bridge at welly interislander port has collapsed along with other damage.	infrastructure_and_utility_damage
194	797923549004468225	Video: Scenes of destruction and devastation from #eqnz	other_relevant_information
200	797813835512025088	RT @djaybutt: Disturbing that @NZcivildefence called out for poor action on tsunami warnings, @geonet gagged on #eqnz tsunami /	not_humanitarian
221	797878671696478208	Any update on water supply in #brooklyn #eqnz #wgtnwaternz	infrastructure_and_utility_damage
243	797834197779894272	Hope everyone in #Christchurch &amp; #Wellington are ok and safe. Not a good start to the week! Thoughts with you all #eqnz	sympathy_and_support
