class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,51,1,13,3,0,4,4,1,15,5
displaced_people_and_evacuations,0,31,1,1,0,3,2,1,0,0
infrastructure_and_utility_damage,1,6,154,2,0,7,10,8,10,9
injured_or_dead_people,0,11,5,212,0,6,7,9,2,2
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
requests_or_urgent_needs,6,3,1,1,0,317,71,1,9,4
rescue_volunteering_or_donation_effort,9,52,51,20,2,234,2281,88,189,79
sympathy_and_support,2,5,3,0,0,47,112,397,12,7
other_relevant_information,40,24,147,8,1,31,74,42,194,108
not_humanitarian,5,6,18,3,1,11,17,18,72,168
