label,precision,recall,f1,support,error_rate
caution_and_advice,0.4473684210526316,0.5257731958762887,0.48341232227488157,97,0.68125
displaced_people_and_evacuations,0.22302158273381295,0.7948717948717948,0.34831460674157305,39,0.7891156462585034
infrastructure_and_utility_damage,0.39185750636132316,0.7439613526570048,0.5133333333333333,207,0.6547085201793722
injured_or_dead_people,0.848,0.8346456692913385,0.8412698412698412,254,0.273972602739726
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.4803030303030303,0.7675544794188862,0.5908667287977633,413,0.5806878306878307
rescue_volunteering_or_donation_effort,0.8847944142746315,0.7590682196339434,0.8171234103528568,3005,0.30920654149000604
sympathy_and_support,0.7026548672566372,0.6786324786324787,0.6904347826086956,585,0.47277556440903057
other_relevant_information,0.3856858846918489,0.28998505231689087,0.3310580204778157,669,0.8016359918200409
not_humanitarian,0.4397905759162304,0.5266457680250783,0.4793152639087018,319,0.6848030018761726
