event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,key
canada_wildfires_2016,test,runs\canada_wildfires_2016\test\gpt-4o-mini\20251101-214854-modeS-RULES1-filtered-TIER1,runs\canada_wildfires_2016\test\gpt-4o-mini\20251101-214854-modeS-RULES1-filtered-TIER1\predictions.csv,0.6522947639520669,0.7595505617977528,445,OPENAI_API_KEY_1
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251101-215418-modeS-RULES1-filtered-TIER1,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251101-215418-modeS-RULES1-filtered-TIER1\predictions.csv,0.7007101598364207,0.7011494252873564,435,OPENAI_API_KEY_1
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o-mini\20251101-221449-modeS-RULES1-filtered-TIER1,runs\cyclone_idai_2019\test\gpt-4o-mini\20251101-221449-modeS-RULES1-filtered-TIER1\predictions.csv,0.5867037317608659,0.6880616174582799,779,OPENAI_API_KEY_1
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o-mini\20251101-223519-modeS-RULES1-filtered-TIER1,runs\hurricane_florence_2018\test\gpt-4o-mini\20251101-223519-modeS-RULES1-filtered-TIER1\predictions.csv,0.6923521308119217,0.7558420628525383,1241,OPENAI_API_KEY_1
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o-mini\20251101-225605-modeS-RULES1-filtered-TIER1,runs\hurricane_maria_2017\test\gpt-4o-mini\20251101-225605-modeS-RULES1-filtered-TIER1\predictions.csv,0.6285810058966068,0.6615811373092927,1442,OPENAI_API_KEY_1
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o-mini\20251101-230632-modeS-RULES1-filtered-TIER1,runs\california_wildfires_2018\test\gpt-4o-mini\20251101-230632-modeS-RULES1-filtered-TIER1\predictions.csv,0.606908943708974,0.7002053388090349,1461,OPENAI_API_KEY_1
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251101-232706-modeS-RULES1-filtered-TIER1,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251101-232706-modeS-RULES1-filtered-TIER1\predictions.csv,0.6004950507805684,0.6240053050397878,1508,OPENAI_API_KEY_1
kerala_floods_2018,test,runs\kerala_floods_2018\test\gpt-4o-mini\20251101-234745-modeS-RULES1-filtered-TIER1,runs\kerala_floods_2018\test\gpt-4o-mini\20251101-234745-modeS-RULES1-filtered-TIER1\predictions.csv,0.5506599032258536,0.6738305941845765,1582,OPENAI_API_KEY_1
hurricane_harvey_2017,test,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251102-002344-modeS-RULES1-filtered-TIER1,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251102-002344-modeS-RULES1-filtered-TIER1\predictions.csv,0.6221474392418659,0.6620498614958449,1805,OPENAI_API_KEY_1
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o-mini\20251102-004416-modeS-RULES1-filtered-TIER1,runs\hurricane_irma_2017\test\gpt-4o-mini\20251102-004416-modeS-RULES1-filtered-TIER1\predictions.csv,0.6188796016308797,0.6423200859291085,1862,OPENAI_API_KEY_1
