event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,key
canada_wildfires_2016,test,runs\canada_wildfires_2016\test\gpt-4o-mini\20251102-180436-modeS-RULES_BASELINE-filtered-TIER1,runs\canada_wildfires_2016\test\gpt-4o-mini\20251102-180436-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.645202109759117,0.7438202247191011,445,OPENAI_API_KEY_1
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251102-181001-modeS-RULES_BASELINE-filtered-TIER1,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251102-181001-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.685925018402117,0.7034482758620689,435,OPENAI_API_KEY_1
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o-mini\20251102-183038-modeS-RULES_BASELINE-filtered-TIER1,runs\cyclone_idai_2019\test\gpt-4o-mini\20251102-183038-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.5824395498462279,0.6777920410783055,779,OPENAI_API_KEY_1
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o-mini\20251102-183604-modeS-RULES_BASELINE-filtered-TIER1,runs\hurricane_florence_2018\test\gpt-4o-mini\20251102-183604-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.6862729222580768,0.7493956486704271,1241,OPENAI_API_KEY_1
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o-mini\20251102-184643-modeS-RULES_BASELINE-filtered-TIER1,runs\hurricane_maria_2017\test\gpt-4o-mini\20251102-184643-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.6280285604778061,0.6539528432732317,1442,OPENAI_API_KEY_1
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o-mini\20251102-185724-modeS-RULES_BASELINE-filtered-TIER1,runs\california_wildfires_2018\test\gpt-4o-mini\20251102-185724-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.6076673083178966,0.7015742642026009,1461,OPENAI_API_KEY_1
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251102-191758-modeS-RULES_BASELINE-filtered-TIER1,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251102-191758-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.5961737539397077,0.6246684350132626,1508,OPENAI_API_KEY_1
kerala_floods_2018,test,runs\kerala_floods_2018\test\gpt-4o-mini\20251102-192328-modeS-RULES_BASELINE-filtered-TIER1,runs\kerala_floods_2018\test\gpt-4o-mini\20251102-192328-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.542401282163382,0.6731984829329962,1582,OPENAI_API_KEY_1
hurricane_harvey_2017,test,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251102-192855-modeS-RULES_BASELINE-filtered-TIER1,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251102-192855-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.6254207393078943,0.6614958448753463,1805,OPENAI_API_KEY_1
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o-mini\20251102-194924-modeS-RULES_BASELINE-filtered-TIER1,runs\hurricane_irma_2017\test\gpt-4o-mini\20251102-194924-modeS-RULES_BASELINE-filtered-TIER1\predictions.csv,0.6081320835336325,0.6337271750805585,1862,OPENAI_API_KEY_1
