class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,67,0,2,3,0,24,0,1,0,0
displaced_people_and_evacuations,18,189,6,7,1,12,0,6,12,7
infrastructure_and_utility_damage,3,15,197,27,0,43,0,3,1,6
injured_or_dead_people,2,7,23,1249,16,46,0,1,2,16
missing_or_found_people,2,1,0,35,85,1,0,0,0,1
not_humanitarian,10,12,17,24,1,830,0,5,3,21
other_relevant_information,56,24,68,26,2,508,0,5,11,27
requests_or_urgent_needs,1,0,0,0,2,5,0,24,19,4
rescue_volunteering_or_donation_effort,13,16,11,19,12,94,1,37,764,24
sympathy_and_support,8,6,3,5,0,24,0,0,28,256
