class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,69,1,5,5,0,17,0,0,0,0
displaced_people_and_evacuations,13,206,5,6,0,6,0,6,10,6
infrastructure_and_utility_damage,1,23,190,30,0,39,0,4,2,6
injured_or_dead_people,1,27,16,1229,25,38,0,1,2,23
missing_or_found_people,1,1,0,26,94,1,0,0,0,2
not_humanitarian,13,15,33,33,1,764,0,10,4,50
other_relevant_information,50,28,90,29,2,457,0,10,14,47
requests_or_urgent_needs,1,0,0,0,2,3,0,28,17,4
rescue_volunteering_or_donation_effort,12,29,16,23,11,67,0,47,744,42
sympathy_and_support,7,8,0,4,1,13,0,1,25,271
