class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.5360824742268041,0.010309278350515464,0.15463917525773196,0.05154639175257732,0.0,0.05154639175257732,0.1958762886597938,0.0,0.0,0.0
displaced_people_and_evacuations,0.03875968992248062,0.8062015503875969,0.023255813953488372,0.01937984496124031,0.003875968992248062,0.01937984496124031,0.015503875968992248,0.027131782945736434,0.023255813953488372,0.023255813953488372
infrastructure_and_utility_damage,0.0,0.061016949152542375,0.7186440677966102,0.08135593220338982,0.0,0.0576271186440678,0.03728813559322034,0.020338983050847456,0.003389830508474576,0.020338983050847456
injured_or_dead_people,0.0007342143906020558,0.018355359765051395,0.039647577092511016,0.8839941262848752,0.014684287812041116,0.01908957415565345,0.0014684287812041115,0.0014684287812041115,0.0,0.020558002936857563
missing_or_found_people,0.0,0.008,0.008,0.248,0.728,0.0,0.0,0.0,0.0,0.008
not_humanitarian,0.016251354279523293,0.02275189599133261,0.07042253521126761,0.0390032502708559,0.0010834236186348862,0.6988082340195017,0.07583965330444203,0.013001083423618635,0.004333694474539545,0.05850487540628386
other_relevant_information,0.04401650618982118,0.0343878954607978,0.18019257221458046,0.04264099037138927,0.005502063273727648,0.3631361760660248,0.24484181568088034,0.012379642365887207,0.0068775790921595595,0.06602475928473177
requests_or_urgent_needs,0.01818181818181818,0.0,0.01818181818181818,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.6727272727272727,0.2,0.03636363636363636
rescue_volunteering_or_donation_effort,0.005045408678102927,0.03229061553985873,0.02119071644803229,0.022199798183652877,0.013118062563067608,0.03128153380423814,0.05852674066599395,0.06357214934409687,0.6972754793138244,0.055499495459132187
sympathy_and_support,0.01818181818181818,0.021212121212121213,0.00909090909090909,0.012121212121212121,0.006060606060606061,0.00909090909090909,0.015151515151515152,0.012121212121212121,0.06666666666666667,0.8303030303030303
