class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,66,1,8,4,0,0,0,0,10,8
displaced_people_and_evacuations,10,216,4,4,0,4,9,7,0,4
infrastructure_and_utility_damage,3,17,203,31,0,4,3,7,7,20
injured_or_dead_people,3,38,15,1237,12,1,1,33,1,21
missing_or_found_people,1,1,0,34,87,0,0,2,0,0
requests_or_urgent_needs,0,1,2,0,2,27,20,2,0,1
rescue_volunteering_or_donation_effort,5,39,20,22,10,31,753,39,36,36
sympathy_and_support,7,9,2,2,1,1,32,270,1,5
other_relevant_information,54,28,103,34,3,11,9,52,112,321
not_humanitarian,23,19,57,38,1,9,4,60,39,673
