class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,29,6,17,0,0,1,20,0,1,0
displaced_people_and_evacuations,9,234,5,3,1,0,3,3,5,3
infrastructure_and_utility_damage,0,3,158,1,0,5,5,1,1,2
injured_or_dead_people,0,0,0,0,0,0,0,0,0,0
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
not_humanitarian,2,4,2,0,0,32,13,1,0,1
other_relevant_information,17,6,58,0,1,20,87,2,11,16
requests_or_urgent_needs,0,0,0,0,0,2,0,10,1,1
rescue_volunteering_or_donation_effort,2,20,13,0,1,13,47,11,518,28
sympathy_and_support,2,2,0,0,0,0,0,0,2,107
