class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.527027027027027,0.06756756756756757,0.1891891891891892,0.0,0.0,0.04054054054054054,0.16216216216216217,0.0,0.013513513513513514,0.0
displaced_people_and_evacuations,0.03759398496240601,0.8947368421052632,0.007518796992481203,0.0037593984962406013,0.0037593984962406013,0.0,0.015037593984962405,0.011278195488721804,0.015037593984962405,0.011278195488721804
infrastructure_and_utility_damage,0.0,0.022727272727272728,0.8977272727272727,0.005681818181818182,0.0,0.045454545454545456,0.011363636363636364,0.0,0.005681818181818182,0.011363636363636364
injured_or_dead_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not_humanitarian,0.01818181818181818,0.07272727272727272,0.03636363636363636,0.0,0.0,0.7454545454545455,0.10909090909090909,0.01818181818181818,0.0,0.0
other_relevant_information,0.09174311926605505,0.027522935779816515,0.24770642201834864,0.0,0.0045871559633027525,0.1926605504587156,0.30275229357798167,0.009174311926605505,0.06422018348623854,0.05963302752293578
requests_or_urgent_needs,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
rescue_volunteering_or_donation_effort,0.0015313935681470138,0.030627871362940276,0.015313935681470138,0.0,0.0,0.03215926493108729,0.05206738131699847,0.019908116385911178,0.8177641653905053,0.030627871362940276
sympathy_and_support,0.02654867256637168,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.9292035398230089
