_order	tweet_id	tweet_text	class_label
23	1111198051425808384	@genetmalawi True though I feel like people affected by #cycloneIdai in rural areas havent been given priority coz they are also some suffering in the outskirts of #Blantyre city whose houses have fallen. I feel like much focus is only going to those rural areas	other_relevant_information
52	1106968561652826112	@LMasvutu There was never any disaster preparedness neither was there any urgency for being proactive after the warnings of the disaster. We hope and pray that no more lives shall be lost and no more damage shall be caused. #CycloneIdai #Thistooshallpass	sympathy_and_support
67	1111170218125074432	RT @AirMobilityCmd: Our @DyessAFBase #HercsWarriors are helping to provide hope and relief for #Mozambique alongside @theOFDA.	rescue_volunteering_or_donation_effort
119	1108461910943559680	#UPDATE The death toll from a cyclone that smashed into Mozambique and Zimbabwe has risen to more than 300 as rescuers race against the clock to help survivors and the UN led the charge to provide aid  #CycloneIdai	injured_or_dead_people
125	1112658719744106497	Portuguese Red Cross still in their work shirts. They just finished setting up a field clinic in Macurungo capable of providing care for up to 100 a day. #Biera #cycloneidai	rescue_volunteering_or_donation_effort
131	1108724047775444992	RT @Auzqn: Those asking about Chinese donations to #CycloneIdaiὄ7ἿFὤ4	rescue_volunteering_or_donation_effort
142	1108461239993319425	Communities in Chimanimanj pulling together in the wake of #CycloneIdai, picking up the pieces after the floods. (Photo credit African Elections) @zambezimasala @7Dnews @PressTV	other_relevant_information
151	1118055352728264704	#Belarus to send humanitarian aid to cyclone-hit #Mozambique, #Zimbabwe	rescue_volunteering_or_donation_effort
164	1107313776456593408	#cycloneidai Response. Let’s all play our part and contribute in cash or kind to the affected people of #Chimanimani and #chipinge. This is what makes us Zimbabweans. We are one people. @zpainfo @memorynguwi @pfungwad @trymo2 @econetzimbabwe @kembochakata @@RichardChenjera	other_relevant_information
186	1109316375644909569	Lessons should be learnt by all and especially our disaster management systems. A people that dont learn are as good as dead. The government of the the day should be responsive and proper warning should have been done. #CycloneIdai you have pained us	other_relevant_information
211	1108010538632658944	Our heartsὉ9go out to all those who have been affected by #CycloneIdai including loss of life, destruction of property &amp; displacement of people due to flooding and landslides. @WFP is supporting ongoing assessment efforts with @UNZimbabwe and stands with the people of #Zimbabwe.	displaced_people_and_evacuations
229	1109767619257794560	#UPDATE This @Ruptly video shows the #Chimanimani #CycloneIdai victims who were buried in pairs per grave. It also shows the magnitude of the damage caused and how the victims are now battling to forge ahead in the aftermath of #CycloneIdai. Heart-breaking scenes! @InfoMinZW	infrastructure_and_utility_damage
233	1112346017666662401	We have launched our collection campaign to help everyone affected by #CycloneIdai! Please consider donating blankets, clothes, toiletries and food items! You can also contact your closest Zimbabwean, Mozambique or Malawi embassy to see how you can help!	rescue_volunteering_or_donation_effort
