class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,681,17,153,2,0,4,3,4,42,11
displaced_people_and_evacuations,66,366,2,1,0,0,4,2,1,4
infrastructure_and_utility_damage,19,1,195,1,0,0,2,3,2,1
injured_or_dead_people,7,0,4,185,0,0,1,4,0,7
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
requests_or_urgent_needs,1,1,0,1,1,17,14,0,0,3
rescue_volunteering_or_donation_effort,22,54,23,2,0,30,816,18,49,20
sympathy_and_support,30,0,3,1,0,3,11,278,1,3
other_relevant_information,120,19,101,2,1,14,14,14,79,81
not_humanitarian,28,7,29,10,0,10,11,15,19,613
