class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.742639040348964,0.018538713195201745,0.1668484187568157,0.0021810250817884407,0.0,0.004362050163576881,0.003271537622682661,0.004362050163576881,0.04580152671755725,0.011995637949836423
displaced_people_and_evacuations,0.14798206278026907,0.820627802690583,0.004484304932735426,0.002242152466367713,0.0,0.0,0.008968609865470852,0.004484304932735426,0.002242152466367713,0.008968609865470852
infrastructure_and_utility_damage,0.08482142857142858,0.004464285714285714,0.8705357142857143,0.004464285714285714,0.0,0.0,0.008928571428571428,0.013392857142857142,0.008928571428571428,0.004464285714285714
injured_or_dead_people,0.03365384615384615,0.0,0.019230769230769232,0.8894230769230769,0.0,0.0,0.004807692307692308,0.019230769230769232,0.0,0.03365384615384615
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.4473684210526316,0.3684210526315789,0.0,0.0,0.07894736842105263
rescue_volunteering_or_donation_effort,0.02127659574468085,0.05222437137330754,0.022243713733075435,0.0019342359767891683,0.0,0.029013539651837523,0.7891682785299806,0.017408123791102514,0.047388781431334626,0.019342359767891684
sympathy_and_support,0.09090909090909091,0.0,0.00909090909090909,0.0030303030303030303,0.0,0.00909090909090909,0.03333333333333333,0.8424242424242424,0.0030303030303030303,0.00909090909090909
other_relevant_information,0.2696629213483146,0.04269662921348315,0.22696629213483147,0.0044943820224719105,0.0022471910112359553,0.03146067415730337,0.03146067415730337,0.03146067415730337,0.17752808988764046,0.18202247191011237
not_humanitarian,0.03773584905660377,0.009433962264150943,0.03908355795148248,0.013477088948787063,0.0,0.013477088948787063,0.014824797843665768,0.02021563342318059,0.025606469002695417,0.8261455525606469
