_order	tweet_id	tweet_text	class_label
8	1039559293056561152	Is your home or community in the projected path of #hurricaneFlorence? There are many ways to prepare from developing an evacuation plan and identifying local shelters. Check out FEMA’s list of what to do as a storm approaches, and how to be safe after.	caution_and_advice
33	1039464966565322753	Ashtead prepares for #HurricaneFlorence clean-up	other_relevant_information
106	1039439482913742848	As of the 5am advisory for Hurricane #Florence--A Hurricane Watch has been issued for the east coast of the United States from Edisto Beach, South Carolina, northward to the North Carolina-Virginia border, including the Pamlico and Albemarle Sounds.	caution_and_advice
128	1039922196536160256	Augusta Health is coordinating prep efforts ahead of #Florence	other_relevant_information
175	1039878496271708166	Hurricane Florence evacuees looking for shelter can still find a place to stay in Charlotte. A lot of @Airbnb hosts are opening their homes for free. Hotels also have extra rooms since conventions and concerts have changed their dates. @wsoctv	displaced_people_and_evacuations
185	1042062549733134336	RT @ChasingOzPhotog: Don’t be distracted. #HurricaneFlorence has killed 31 Americans and the flooding is only getting worse.	injured_or_dead_people
199	1039552609387008003	Maryaland is preparing for Hurricane Florence to hit us on Friday, they declared already the state of emergency, people are going crazy preparing for it, shelves are already empty at the local grocery stores! Hopefully we will not have any damages, we survived tens of them!	caution_and_advice
214	1041998460411629576	⁦@WISN12News⁩ has teamed up with ⁦@RedCross⁩ to help communities impacted by #Florence. Volunteers are standing by to take your donations. Call 414-799-9476.	rescue_volunteering_or_donation_effort
225	1039595091747381248	I expect to see Trump land in NC next week and toss dozens of rolls of Bounty paper towels and brag that these new storm victims dont have it anywhere near as bad as those who experienced Katrina. #GOPCorruption #GOPComplicit #TrumpCrimeFamily #TrumpCorruption	not_humanitarian
267	1041224912244039680	ἰ0#Florence update: ▶NC: 845,952 customer power outages ▶SC: 167,476 customer power outages ▶ Crews begin to perform limited/intermittent damage assessments and restorations. ▶ Read the latest situation report:	infrastructure_and_utility_damage
296	1041625255129886721	@USCG @realDonaldTrump #THANKYOU #FlorencePets and to all the emergency personnel assisting the victims of #HurricaneFlorence ἟1἟7✝️✌️ὟD	rescue_volunteering_or_donation_effort
304	1042022453894103041	HURRICANE FLORENCE HEROES RESCUE 6 TRAPPED DOGS FROM RISING WATERS OR THEY WOULD HAVE DROWNED Rescued six dogs in Leland, NC, after the owner LEFT THEM locked in an outdoor cage that filled with flood	rescue_volunteering_or_donation_effort
335	1039926720453914626	Tampa, Florida - 9/27 - 9/29 You can catch Psalmist Shekinah Bryant bringing more heat to Tampa for United Nations Church NY” International Women’s Ministry and their Women’s Conference	not_humanitarian
342	1041591040036298752	RT @opalessense: #Hurricane Central Dams in Danger in #NorthCarolina; #Florence Death Toll Rises to 12 in the State	injured_or_dead_people
348	1040735963838701568	Our current situation. I know I left Florida so I wouldnt have to deal with this crap! I feel betrayed! #hurricaneflorence #hurricane #storm #rain #flooding #matthews #charlotte	not_humanitarian
350	1040189996257427456	Triad Farmer Worried About Hurricane Florence Damage	infrastructure_and_utility_damage
440	1041846114004230145	Did you know fluffandtuffdogtoys will donate one toy for each picture shared showing your pet and one of their toys?? Mom picked us up a new Racoon last week at @petagogy to make sure we	rescue_volunteering_or_donation_effort
444	1039575299254575104	Randy Webster with Horry County Emergency Management says theres no real significant change in the forecast as of now, so we are hoping we dont get a direct impact, but that is still a possibility. #HurricaneFlorence	caution_and_advice
455	1039487031859183617	You know its the south during hurricane season when you are getting hourly reports on bottled water shortages and gas station outages on social media #Florence #ncwx #cltwx #scwx #vawx #obx	not_humanitarian
463	1040026994816077825	Good times with the #rocfam #food #drinks #goodtimes #goodpeople #realmofcollectors @ Tacuba Cantina Mexicana	not_humanitarian
480	1039887677598908416	If you know of anyone who is evacuating in the wake of Hurricane Florence, the Mount Airy Visitor Center is available for assistance: 336-786-6116. VisitNC is working to keep a master list of available lodging. Tell your friends.	displaced_people_and_evacuations
494	1039408534994251776	RT legacyinsgrp1 RT ZurichNAnews With #HurricaneFlorence looming, smart planning can help protect your people and your assets in emergency situations.  #Florence	caution_and_advice
502	1041238859449806850	Show your support for the unbreakable spirit of the #CAREolinas. Weve partnered with @recoverbrands to donate 100% of the proceeds from each t-shirt sale to support #Florence recovery efforts. Purchase yours here:	rescue_volunteering_or_donation_effort
522	1039412262455242753	#Purrs4PeaceἱF EMERGENCY purrs for efurryone affected by #HurricaneFlorenceὣF Help keep them safeὤFἿBὃEὉC PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR PURR #weeti #BBOT #ZSHQ #ambassacats	sympathy_and_support
569	1041235243649228800	Throughout the week, we’ve worked hard to deploy people and resources to support all of the state and local officials affected by #Florence. As this effort continues, here’s a snapshot of how we and our federal partners have been providing that support:	rescue_volunteering_or_donation_effort
611	1039493639838359552	Burgaw Middle @bms_reddevils Red Cross Emergency Shelter checks the generator in preparation for Hurricane Florence.	caution_and_advice
666	1039400818460581888	Dont worry North &amp; South Carolina about any messy flooding. When Mr. Trump helicopters in to brag about the deaths, hell give you several rolls of paper towels to mop it all up with. Youre welcome! #HurricaneFlorence	not_humanitarian
679	1040578364422193153	At 8:25 AM EDT, 1 NE Smith Creek [New Hanover Co, NC] COUNTY OFFICIAL reports HURRICANE. NEW HANOVER COUNTY EM REPORTS A STRUCTUAL FIRE RELATED TO STORM DAMAGE TO A HOME ON BAY BLOSSOM ROAD IN WILMINGTON, NC.	infrastructure_and_utility_damage
697	1040196263764008960	The storm surge from #Florence will also be a problem. This will cause many buildings along the shore to get flooded out and quickly. Not to mention the damage done by the strong wind.	infrastructure_and_utility_damage
743	1039447125329956864	#Breaking: Hurricane and Storm Surge Watch issued for the North Carolina coast, including the Outer Banks, ahead of Hurricane Florence. Still on track for landfall along the NC coast early Friday AM. LOTS of rain expected. @WTKR3 #FirstWarn3 #OBX	caution_and_advice
744	1040193491199041537	Are you prepared for #HurricaneFlorence? Make sure you have all the basics- water, flashlights, batteries, and food! If the storm is bad, take refuge in a small interior room, closet, or hallway on the lowest level. Everyone, stay safe!  #Surgical #Medworks	caution_and_advice
746	1039565473103392771	*After* that, the latest weather models predict #Florence will stall out for four days -- similar to what happened to Hurricane Harvey last year in Texas. Much of North Carolina &amp; Virginia could be dealing with their worst flood in history. Again, this is the current forecast.	caution_and_advice
862	1039888525594972162	Congaree National Park will close at 2:00 PM this afternoon in advance of Hurricane Florence. The entire park, including hiking trails, canoe trails, facilities and campgrounds will be closed until further notice. Potable water is not available at this time.	caution_and_advice
896	1041568387099439104	Master Your Disaster (Family Edition) gives you the confidence to act calmly and efficiently when the time comes. Your new foundation in emergency preparedness, response &amp; recovery. #hurricaneflorence #hurricane #prepnow #NatlPrep #FloodSmart #MYDGlobal	caution_and_advice
918	1040143445950713857	Hoping everyone is getting to safety numerous Swift water rescue &amp; dog teams from West coast arriving soon in Carolinas to help pls evacuate &amp; take pets &amp;ur meds, be safe! t-09-12-hurricane-florence-breaking-news-sooner-landfall	rescue_volunteering_or_donation_effort
923	1041341019252563968	What did you have for #breakfast ? ὠ2 We had roasted vegetables (potatoes, cabbage, local broccoli), chorizo from autumnsharvestfarm, poached egg, and amaranth microgreens from	not_humanitarian
980	1039865819843502080	According to Trump 3000 deaths in Puerto Rico is a success. Does that scare you east coast? #MAGA #HurricaneFlorence #ImpeachTrump #TreasonousBastard	injured_or_dead_people
1003	1042057989522432000	@BeckyQuick to the critics who have accused you of dramatizing the flood challenges in the Carolina of Hurricane #Florence suggesting folks are being discouraged to return to their homes. This picture is Highway 40!	displaced_people_and_evacuations
1016	1042018032263090177	RT @nataliealund: Cleanup efforts underway in #Wilmington #HurricaneFlorence This is what’s left of an Exxon on Dawson Street.	other_relevant_information
1060	1041233515717615616	On this Sunday we give thanks that we have come through #HurricaneFlorence with no damage and no loss of power. Sending prayers for those who have been affected @lynda3035 @Tonithecat32 @fluffybasil @SassyCassyCat @BloomNight2 @cwniteowl @Kathlee54272830 @sharon_cantley	sympathy_and_support
1064	1039868920214286336	Your reductions of regulations and ignorance of global warming and 10 million dollars from FEMA for your ice centers will be responsible for many more deaths like PR	not_humanitarian
1097	1041779278826881024	Tornado Warning continues for Moseley VA until 4:30 PM EDT	caution_and_advice
1122	1041221069636550656	RT NHC_Atlantic 9/15 11 AM EDT: Here are the Key Messages for Tropical Storm #Florence. The storms winds may be weaker, but life-threatening storm surge and catastrophic inland flooding continues. Full advisory:	caution_and_advice
1130	1042180815965310978	Gerbs Brown Sugar Oatmeal Cookie, recipe in comments. #cookie #darkchocolatechips #oatmealcookies #gerbsallergyfriendlyfoods #rolledoats #allergyfriendly @ Gerbs Allergy Friendly Foods	not_humanitarian
1146	1041992343228960768	From Evacuation to Devastation From Hurricane Florence:  via @YouTube	displaced_people_and_evacuations
1180	1041523964726665219	Hurricane Florence Day 2 // These videos were taken Friday during the brunt of the storm. Several parts of the roof had caved in and water was starting to mount in the gym as the rain	infrastructure_and_utility_damage
1235	1042060495514034178	Hey guys I know hurricane Florence is at the center of everybody’s attention right now but there are around 4 fires in Utah right now and they are extremely bad. Tons of people have been evacuated from their homes 1/2	displaced_people_and_evacuations
1268	1041277515438927872	#Flood Safety: Avoid driving through pools of standing water. TURN AROUND, DON’T DROWN! #StormTrack2 #Florence	caution_and_advice
