class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.7757255936675461,0.005277044854881266,0.11609498680738786,0.0,0.0,0.0,0.010554089709762533,0.002638522427440633,0.06596306068601583,0.023746701846965697
displaced_people_and_evacuations,0.04149377593360996,0.8858921161825726,0.006224066390041493,0.0,0.004149377593360996,0.012448132780082987,0.02074688796680498,0.004149377593360996,0.004149377593360996,0.02074688796680498
infrastructure_and_utility_damage,0.03873239436619718,0.005868544600938967,0.7910798122065728,0.007042253521126761,0.0,0.01056338028169014,0.02112676056338028,0.03403755868544601,0.02699530516431925,0.06455399061032864
injured_or_dead_people,0.006147540983606557,0.010245901639344262,0.006147540983606557,0.8913934426229508,0.0,0.004098360655737705,0.0,0.05327868852459016,0.0020491803278688526,0.02663934426229508
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.03862660944206009,0.02575107296137339,0.004291845493562232,0.0,0.004291845493562232,0.5236051502145923,0.31759656652360513,0.02145922746781116,0.017167381974248927,0.04721030042918455
rescue_volunteering_or_donation_effort,0.008097165991902834,0.04706477732793522,0.01568825910931174,0.005566801619433198,0.0010121457489878543,0.039979757085020245,0.798582995951417,0.024291497975708502,0.03289473684210526,0.026821862348178137
sympathy_and_support,0.015765765765765764,0.009009009009009009,0.018018018018018018,0.0022522522522522522,0.0,0.0045045045045045045,0.10810810810810811,0.8018018018018018,0.0045045045045045045,0.036036036036036036
other_relevant_information,0.11236863379143087,0.047696038803556995,0.24898949070331447,0.01131770412287793,0.0008084074373484236,0.02263540824575586,0.07922392886014551,0.06952303961196443,0.16248989490703314,0.24494745351657235
not_humanitarian,0.06968641114982578,0.0313588850174216,0.07665505226480836,0.013937282229965157,0.003484320557491289,0.013937282229965157,0.020905923344947737,0.09407665505226481,0.08362369337979095,0.5923344947735192
