_order	tweet_id	tweet_text	class_label
7	902639221021696001	Calling all chefs! Please join us in supporting the victims of #HurricaneHarvey. Donate the proceeds of one featured dish #Chefs4Houston RT!	rescue_volunteering_or_donation_effort
29	902655816175685641	A new resource to stay up-to-date with ways to help people affected by Hurricane Harvey.	other_relevant_information
92	903499233835106309	Texas Food Bank Network , Texas Diaper Bank , or donate survivor Ts	rescue_volunteering_or_donation_effort
188	902642732656721920	Ratings are the only thing important to djt. More than deaths, displaced Texans and animals	not_humanitarian
196	903409199895388160	Love has been called the glue that holds the world together. #DailyWord Please pray for #PortArthur. #TexasStrong #HurricaneHarvey 🙏🙏🙏	sympathy_and_support
237	902840945514881024	President Trump thanks the emergency operation center in Houston for their response to #HurricaneHarvey	other_relevant_information
248	902670131418894336	Please consider fostering or adopting to help make room for more pets to be rescued.	rescue_volunteering_or_donation_effort
269	902902746831040513	Friends please continue to keep all affected by #HurricaneHarvey in your prayers but specially the children.	sympathy_and_support
346	901212216115986432	#HurricaneHarvey: Category 3, #Texas Evacuations, Potential Record Flooding [VIDEO]	displaced_people_and_evacuations
350	901671787997614080	Reporting from kazen middle school where 650 evacuees from #HurricaneHarvey took shelter with @tv5sprtsshooter	displaced_people_and_evacuations
438	902624500294017027	Perspective: More people died in the first hour of the Northridge Earthquake (L.A. 1994) than the total so far from #Harvey.	injured_or_dead_people
492	902642643653550080	GO LONG BEACH! Many still not back in their homes from Hurricane Sandy @mm42197 @SaraMD15 @IrisD236	displaced_people_and_evacuations
593	903708551612440576	@PalmettoHigh is collecting canned food at the football game tonight for those affected by hurricane Harvey. Lets do all we can to help!	requests_or_urgent_needs
614	902728293740367872	– The death toll continues to rise as massive amounts of rain from Hurricane H  #fakenews	injured_or_dead_people
792	903642330581929984	.@LouisianaGov has just arrived to the mega-shelter to meet #Harvey evacuees.	displaced_people_and_evacuations
806	901747626886008836	Absolutely devastating flooding near #Houston &amp;areas SE. Rainfall rates 6/HR, totals over 20 already. Another 12-15+ coming #TXwx #Harvey	other_relevant_information
840	901805392258359300	Drone footage shows Harveys destruction	infrastructure_and_utility_damage
1011	903435766436593664	Simple fix. You refuse evacuation you go to jail. Tired of hearing depressing news about unnecessary deaths ☹️ #neverlearn #HurricaneHarvey	displaced_people_and_evacuations
1132	902648844625874949	Shelter if meeded  #HOUSTON 🙏 #hurricaneharvey	other_relevant_information
1237	903747794535686144	#gofundme #sabrinawilson #HurricaneHarvey please help me and my family please anything would do	requests_or_urgent_needs
1240	902617680716455936	#HurricaneKatrina #HurricaneHarvey Hurricane Katrina killed 1800 people	injured_or_dead_people
1371	902684737180925952	There were a lot of #tornado warnings associated with #Harvey. @USTornadoes created a gif with each day broken down:	caution_and_advice
1396	903536554769088512	Jessica Chastain breaks down in emotional moment over Hurricane Harvey as death toll rises:	injured_or_dead_people
1424	901429355246702593	Some offices in Texas are closed due to #HurricaneHarvey. Check our list of office closings before your appointment.	other_relevant_information
1468	903465458937937920	Ten-year-old Zada Brown found shelter in Austin. Now, shes helping other #Harvey evacuees. More from @MoseBuchele:	rescue_volunteering_or_donation_effort
1475	901776416366370816	1st it was family/kids in Corpus Christi #Harvey now family in Houston/Coastal Bend area w/MAJOR flooding. Feel hapless	other_relevant_information
1559	903416231214157825	VP Mike Pence, speaking in Texas, calls on all Americans to join the #Harvey recovery effort: Find a way to help.”	rescue_volunteering_or_donation_effort
1650	903746066356596739	Dell pledges $36 million to #Harvey relief effort - Fox	rescue_volunteering_or_donation_effort
1687	902727962381963264	Five #Deaths In #Houston #Blamed On #Harvey; Other #Deaths B -  - #News	injured_or_dead_people
1703	903748945054183424	WeimTime LLC supports the victims and heroes of hurricane Harvey. Support with us by donating to the relief fund.	rescue_volunteering_or_donation_effort
1750	901809740006744065	RT @NHC_Atlantic: Tropical Storm #Harvey Advisory 28A: Harvey Producing Catastrophic and Life-Threatening Flooding.	caution_and_advice
1774	902912464781795328	The Latest: Official says #Harvey could have damaged 30,000 to 40,000 homes.	infrastructure_and_utility_damage
1777	903517869916524544	Israeli org @IsraAID is on the ground in #Houston delivering supplies to shelters &amp; people in need, &amp; also helping w/ debris removal #Harvey	rescue_volunteering_or_donation_effort
1793	902854228074315777	#HurricaneHarvey: T.I. calls Joel Osteen a Fraud  -	not_humanitarian
1802	903649243143045121	Bun Bs Wife: All of UGKs Archives Have Been Destroyed by Hurricane Harvey  via @ComplexMusic	infrastructure_and_utility_damage
1808	901713116056182784	RT @callergabe: National Guard arriving at Port Aransas,Texas #HurricaneHarvey #Harvey #HarveyStorm #stxwx #Texas	rescue_volunteering_or_donation_effort
1854	901742386992357376	RT @funder: Another one bites the dust. ❌Gorka ❌Bannon ❌Scaramucci ❌Reince ❌Flynn ❌Spicer ❌Manafort ❌Page ❌Dubke ❌Epshtyn ❌Short ❌Harvey	not_humanitarian
1871	902637254660812800	#Rockport and #AransasCounty need your help! They arent getting the millions Houston is. #HurricaneHarvey #Harvey	requests_or_urgent_needs
1872	901835350615572482	RT @ChelseaClinton: Texas Diaper Bank seeks donations to help Hurricane Harveys youngest victims | WOAI	rescue_volunteering_or_donation_effort
1874	903682296649310213	Expect a lot of salvaged titles - Hurricane Harvey may have destroyed 1M cars—and changed the U.S. used auto market	infrastructure_and_utility_damage
1876	903607696984858624	Latest two people killed related to Hurricane Harvey were electrocuted in standing water by a shed behind their house. Death toll now at 39.	injured_or_dead_people
1903	903418312545226753	The devastating impact of Hurricane Harvey as affected so much of Houston and surrounding areas.	infrastructure_and_utility_damage
1938	902891653073182721	But knowing how he works, hes very involved in the planning and execution of shelter and rescue. Thats true leadership.	rescue_volunteering_or_donation_effort
1941	903608298699620354	Amnesty International: RT amnestyusa: #StaffPick: Resources for refugees in the wake of Hurricane Harvey. Thanks t	displaced_people_and_evacuations
1953	903598367464411137	TX Diaper Bank has emergency diaper kits for displaced families. Make a cash or diaper donation. #HurricaneHarvey	rescue_volunteering_or_donation_effort
1984	901758601374642177	Apple opens iTunes donations for Hurricane Harvey relief - AppleInsider (press release) (blog)  #Apple	rescue_volunteering_or_donation_effort
2030	902753097046470656	Our town is destroyed: Texans face Hurricane Harvey destruction.	infrastructure_and_utility_damage
2043	902687136666800128	Resources for Texas Lawyers Displaced by Hurricane Harvey -  - In the wake of Hurricane	displaced_people_and_evacuations
2073	901744739824762880	08-26-2017 Houston, Texas Hurricane Harvey-Start of Street Flooding Lorenson/Elliott #okc #news #wth	infrastructure_and_utility_damage
2120	901783828376715264	Harvey death toll could rise; residents urged to stand on roof	injured_or_dead_people
2126	903755929170182145	.@BPC_Bipartisans @AParekhBPC joins us LIVE to talk about Hurricane Harvey relief efforts	rescue_volunteering_or_donation_effort
2128	903723212718182400	This is the dumbest logic Ive ever seen. The damage is still being done. The wound is getting bigger, its not healing. #Harvey #Houston	infrastructure_and_utility_damage
2142	903766671281848325	Shocking. @realDonaldTrump not following through on a promise? And screwing over those most in need of help? So Trump! So Very Trump!	requests_or_urgent_needs
2145	902601597347291137	@HCSOTexas #HCSO Open Today #harvey #animalrescue #hounews #HoustonStrong #HoustonHeroes 612 Canino Rd 77076 Chk for open roads to be safe. 🙏 #pet 🐶🐱🐦🐰	other_relevant_information
2155	902720395735965697	A truly horrifying site..waves with white caps on I-10 as flooding of biblical proportion continues. #HarveyFlood #PrayForHouston	other_relevant_information
2210	902854128006811648	BREAKING: The main levee in Brazoria County just broke EVACUATE NOW! #HoustonStrong #HurricaneHarvey #HarveyRescue #HarveyRelief #HarveySOS	displaced_people_and_evacuations
2259	902868582442426370	Our Thoughts and Prayers go out to the families affected by Hurricane Harvey. Gulf Beach Weddings is	sympathy_and_support
2279	902917130433306625	#PhotosFromTheField: @TXSGOfficial cheering up the kiddos at an evacuation shelter. #TMDHarvey #Harvey	displaced_people_and_evacuations
2399	902633296881999875	#PhotosFromTheField: Resting up for future night operations. #TMDHarvey #Harvey #nightops	other_relevant_information
2428	900889212702130176	More evacuations as Hurricane Harvey bears down on Texas and gets stronger.	displaced_people_and_evacuations
2484	903361977904496640	What should you do when the water starts rising? #HurricaneHarvey #Flood	other_relevant_information
2539	902856644614393857	Thank you @BarbraStreisand for your generous donation to our #HurricaneHarvey Relief Fund! We appreciate your support for local nonprofits.	rescue_volunteering_or_donation_effort
2540	902725384453718016	NRG opens at 10. Curfew at 12. Houston is a rat maze of closed &amp; flooded roads. Be careful!! #Harvey2017 #HarveyShelter #Hope4Houston	caution_and_advice
2555	901650726832746500	RT @Independent: Texas prepares for catastrophic flooding as Harvey leaves communities devastated	other_relevant_information
2615	902657422841356292	Would you like to help those affected by Hurricane Harvey. California Medical Association has joined forces with	rescue_volunteering_or_donation_effort
2648	902867434205585408	As is the flooding in SE Asia. As #climatechange accelerates #drowning deaths will accelerate.	injured_or_dead_people
2662	903748208417017856	Aviation teaching asst. prof John Dahl (3rd from R) makes us #KStateProud as he flies medevac in support of #HurricaneHarvey relief efforts.	rescue_volunteering_or_donation_effort
2698	903048567354527745	US69 between Beaumont &amp; Lumberton is still closed and the water is rising. PLEASE STAY HOME #Harvey	caution_and_advice
2724	903397545690505217	People and horses are struggling to deal with the damage and destruction from Hurricane Harvey. If you can,	infrastructure_and_utility_damage
2744	902916540475080704	2 more Harvey-related deaths reported; toll up to 20 #Harvey-relateddeaths	injured_or_dead_people
2780	903763855884636163	Brown flood waters streaming into the Gulf from Galveston Bay and others - #GOES16 Geocolor - #Harvey	other_relevant_information
2789	903421739140431873	Drone Footage Captures Hurricane Harvey’s Destruction In Houston, -  #drones #quadcopters #aerialphotography	infrastructure_and_utility_damage
2797	902903433090490369	@Impeach_D_Trump @TriciaJJones Except that guy @TomLlamasABC who diverted cops from rescuing ppl to arrest #Harvey survivors getting food that was going 2b trashed anyway.	rescue_volunteering_or_donation_effort
2819	903663339863203841	The latest Kimmys Homes - Real Estate Issues!  Thanks to @NAIDiLeoBram @RealEstate361 @MarkRosch #harvey #realestate	not_humanitarian
2830	902893863320346624	I liked a @YouTube video  Hurricane Harvey Houston Flooding Drone Footage 4K HD	infrastructure_and_utility_damage
2892	903447108912652288	Houston native Simone Biles volunteers at Hurricane Harvey shelter	rescue_volunteering_or_donation_effort
2901	902844689010876416	please RT -$ benefits those in need, not CEOs/directors😉 #donatewisely #Texas #Houston #HurricaneHarvey #floodrelief	rescue_volunteering_or_donation_effort
3102	901796427457863680	RT @scottlee: Death roll reaches 5 as #HurricaneHarvey spawns massive flooding.	injured_or_dead_people
3115	902650666316857345	As seen in this #GOES16 visible imagery, #Harvey continues to deliver intense storms to coastal areas. Forecast @	other_relevant_information
3194	903396984563929088	Trump is weighing tying a U.S. debt limit increase to #Harvey aid, sources say	other_relevant_information
3277	901804793567596545	Texas Gov. Greg Abbott says flooding in Houston from #Harvey may be the worst the city has ever suffered.	not_humanitarian
3369	902648107426598912	Hey @JoelOsteen and @lakewoodch ! We appreciate you! #TeamJesus rising up! #hurricaneharvey #harvey	other_relevant_information
3440	901745873109094401	HGX issues Tornado Warning for Brazoria, Fort Bend [TX] till 5:15 AM CDT	caution_and_advice
3499	903415589984755712	.@motortrends @MarkRechtin on vehicle damage in Hurricane Harvey: Most flood-damaged cars should be crushed. #CheddarLIVE	infrastructure_and_utility_damage
3508	903647347762229254	Wouldnt there have been as bad or worse flooding if DC, NYC, or Boston received same amount of rain?	other_relevant_information
3510	902647635072487424	Texas 4-H announces Hurricane Harvey campaign to support 4-H clubs and county programs affected by the storm. #texas4h #4H #4hsupportsTexas	sympathy_and_support
