class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,317,6,39,2,0,4,3,1,44,13
displaced_people_and_evacuations,38,447,8,3,3,1,10,6,1,11
infrastructure_and_utility_damage,59,9,1114,12,0,7,7,33,20,56
injured_or_dead_people,1,4,15,559,0,0,3,19,2,23
missing_or_found_people,0,0,0,0,0,0,0,0,0,0
requests_or_urgent_needs,2,2,1,2,0,58,19,2,1,1
rescue_volunteering_or_donation_effort,12,35,27,3,0,47,865,29,71,24
sympathy_and_support,7,5,1,1,3,22,79,265,4,10
other_relevant_information,215,87,362,17,6,50,226,100,273,315
not_humanitarian,22,10,31,7,0,8,4,25,27,296
