_order	tweet_id	tweet_text	class_label
3	910669838842056704	My heart breaks for the families in Puerto Rico and the Caribbean devastated by Hurricane Maria. Were praying for you! Estoy orando por ti!	sympathy_and_support
13	912218742930550784	Currently affected by a power outage? Be sure to follow these steps to ensure maximum safety of food products. #HurricaneMaria	caution_and_advice
14	912123826217025536	Our grading maps of #Dominica after #HurricaneMaria shows thousands of houses destroyed or severely damaged, collpased bridges &amp; roadblocks	infrastructure_and_utility_damage
17	913171275190870016	RING THE ISLAND WITH NAVAL VESSELS, A/C CARRIERS FOR AIR EVAC, HOSPITAL SHIPS TO AID THE HOSPITALS AND INJURED AND LAND AMPHIBIOUS VEHICLES!	other_relevant_information
67	913790381527093249	Please help your fellow Americans in the US Virgin Islands Puerto Rico and people of Saint Croix St Thomas Dominica donate now	rescue_volunteering_or_donation_effort
116	912284681537675264	Still collecting supplies for the victims of Hurricane Irma and Maria. Bring supplies to: 4916 S. Lois Ave. @LarryMcHCSO @813area @wtsp	rescue_volunteering_or_donation_effort
196	910698417575399424	Please help the people of Dominica! The small island has been rocked by Hurricane Maria leaving them in shambles!	requests_or_urgent_needs
236	914506613414694914	Death toll from Maria was 16 after the storm Still 16 Not dying, not starving but hungry 1000s of container on docks Not moving Why	injured_or_dead_people
240	913049498330349574	so the PR still has to pay WAY more for the supplies they need to recover - hard to wrap my head around this disgusting decision	requests_or_urgent_needs
344	910736396490600448	Tim Duncan, continuing hurricane relief efforts in Marias wake, appears live on national TV -	rescue_volunteering_or_donation_effort
490	913347396993785856	Please continue 2 pray with us for Puerto Rico, devastated by Hurricane Maria, and Grace Pointe families who have friends &amp; family affected.	sympathy_and_support
492	913169775668408320	RT @liveyournature: The survivors of hurricane maria in #Dominica need our help - donate any amount  via @gofundme	requests_or_urgent_needs
501	913098233597038592	RT @Kidfears99: This is terrible. Can someone please help these folks? @LillyPad @jdrf @AmDiabetesAssn @novonordisk @sanofi	requests_or_urgent_needs
526	914968529149014022	Puerto Ricos cop telling the truth about Hurricane Marias aid @realDonaldTrump please send US troops  via @YouTube	other_relevant_information
614	912334155224141824	He said this weekend they have access to $1 billion in federal aid right now. Cost estimate is going to be well over $8 billion to recover	other_relevant_information
662	913855105618898944	Help victims of hurricane Maria just by showing up for a beer tonight! Beverage sales will be	other_relevant_information
759	913884569128116224	RT @sdk14754977: Please pray for them and all of the missing children.	sympathy_and_support
766	914458188497506304	Maria, the case where a large storm destroyed a small US territory and the whole world realized the US is in desperate need of intervention.	infrastructure_and_utility_damage
775	914688413080674304	@SenSchumer WE ALL KNOW YOU ARE THE DEMONS THAT ARE PREVENTING THE FOOD TO STARVING PPL DELIVER THE FOOD	not_humanitarian
804	913886522633420800	Taller Salud is an incredible organization doing important work in a community that is often ignored by the govt. Please donate if you can.	rescue_volunteering_or_donation_effort
829	913187481054523392	PLEASE - Porto Rico - this beautiful Island and amazing people need any help as soon as possible from everybody all of the World. Thank You.	requests_or_urgent_needs
919	911506191385317376	BREAKING: Puerto Rico #Guajataca dam BURSTS sparking mass evacuation after Hurricane Maria	displaced_people_and_evacuations
924	914721212835676160	RT @MishalHusainBBC: Families in Puerto Rico left with nothing after the hurricanes. @AleemMaqbool report	other_relevant_information
934	913141863816851459	FCC Comms Status Report for Areas Impacted by Hurricane Maria, 27 Sept: 91% of cell sites in Puerto Rico are down -	other_relevant_information
990	913579026958168064	Right, Ivanka, why didnt you get daddy to help the people in disaster areas instead of ranting about NFL? Too bad youre not helping.	not_humanitarian
1077	914537732072001542	RT @Sunrise51052: The ports are overflowing with relief supplies, the problem is the corrupt Mayor of San Juan &amp; Teamsters Union. /	rescue_volunteering_or_donation_effort
1127	912169052662935552	Mayor of Hatillo, in the northwest, said hundreds and hundreds of homes obliterated. Its catastrophic, he said.	infrastructure_and_utility_damage
1163	912974029308362752	RT @Raptonisheart: @WalidAzami help spread the news. Hi everyone please if you can donate @ricky_martin fund down below⏬⏬⏬⏬⏬	rescue_volunteering_or_donation_effort
1210	912400904841781248	RT @SenSanders: My thoughts are with the people of Puerto Rico recovering from Hurricane Marias devastation. We must do everything we can	sympathy_and_support
1224	912299591097298947	RT @AlexJLamers: Puerto Rico: For as far as he could see, every one of his 14,000 trees was down. Same for the [crops]. #Maria .	infrastructure_and_utility_damage
1247	912177928854806529	RT @JefferyKing5: Puerto Rico without power for days after Hurricane Maria	infrastructure_and_utility_damage
1248	910724198498164736	RT @antoniodelotero: This is heartbreaking. Officials say 100% of Puerto Rico in dark after the island was destroyed by Hurricane Maria htt	infrastructure_and_utility_damage
1257	914275476092440576	This is #Tortola. Please assist by donating to the BVI RedCross as theyre organizing relief efforts. #HurricaneMaria #HurricaneIrma	rescue_volunteering_or_donation_effort
1269	913554043661844480	How the front of our house turned out with Hurricane Maria #PuertoRicoSeLevanta #HuracanMaria #HurricaneMaria #HuracanMariaPR	other_relevant_information
1289	912409278245474304	Crimes against humanity. #BenedictDonald is a domestic terrorist. #resist	not_humanitarian
1292	912978642132766720	RT @KCKnowss: Crazy af how 4 years ago I was living in Puerto Rico &amp; Hurricane Maria really came through &amp; destroyed tons of shit.	infrastructure_and_utility_damage
1317	914247414076334081	Horrifying photos of #PuntaSantiago, the local community by #CayoSantiago, which was destroyed by #HurricaneMaria	infrastructure_and_utility_damage
1339	914184345795141632	RT @MichaelTLawhorn: @FORSCOM Soldiers ready to help FEMA help out in #PuertoRico during #HurricaneMaria relief efforts	rescue_volunteering_or_donation_effort
1449	912103948978393088	NWS San Juan photos after Hurricane Maria show some of the damage done to the forecasting offices Doppler radar station.	infrastructure_and_utility_damage
1534	910561743860101128	Please pray for me people!!	sympathy_and_support
1543	914234081054826496	What every American needs to know about Puerto Rico’s hurricane disaster  Including suggested agencies to donate to.	rescue_volunteering_or_donation_effort
1559	913912046088888321	@JeremyHolleb @PacificCommand @PACAF Interestingly enough, @USSWaspLHD1 was on her way to PACOM (specifically @US7thFleet), and diverted to aid #HurricaneMaria relief efforts.	rescue_volunteering_or_donation_effort
1571	914335704074772480	So sad ὡE It destroyed the rainforest. #Maria #MariaPR #HurricaneMaria #SOSPuertoRico	other_relevant_information
1584	911618712393961474	@realDonaldTrump get puerto rico help, power, food, and resources !!!!!	requests_or_urgent_needs
1609	910613053040979969	A state of emergency has been declared in Dominica following the devastation caused by Hurricane Maria. On	caution_and_advice
1619	913537351883800576	@ria_sherrelle @thetwerkinggirl  death toll alone is 2x more than Maria. But I guess if our material loss is more valuable then Maria is almost same	injured_or_dead_people
1662	914633397905092608	#TrendCulprit representing at #RSDrive for #PuertoRico #HurricaneMaria Relief. Thank you to our	rescue_volunteering_or_donation_effort
1664	911927369992155137	Please keep up LOTS #pawpurrayers #healingpurrs 4 efurryone hit by #HurricaneMaria help keep them safeὤFἿBὃE#cats #pawcircle #weeti #PuertoRico	sympathy_and_support
