_order	tweet_id	tweet_text	class_label
19	798148696508506112	Surveillance video from inside a New Zealand golf store gives a sense of 7.8-magnitude earthquakes power.	other_relevant_information
28	800833072014901256	RT @WREMOinfo: Hi weve seen the reports about the recent Earthquake in Japan. Civil Defence advise there is NO Tsunami threat to New Zeala	other_relevant_information
31	771440566953512960	An oufful earthquake. 7.1! I pray for NZ. God defend New Zealand. #PrayForNewZealand @geonet @johnkeypm @ONENewsNZ	sympathy_and_support
32	798064160101699584	Five-metre high tsunami wave wrecks 100-year-old historic cottage. Its a write-off, owner says. #eqnz	infrastructure_and_utility_damage
47	799872348291633152	When disaster hits, we need to look out for each other. Need someone to talk to? Earthquake Support Line 0800 777 846 #eqnz	sympathy_and_support
56	800524133620555776	As @Wellington_NZ starts a new week after #eqnz, thoughts on taking care of u &amp; yr teams from @Sarb #pleaseshare	sympathy_and_support
65	798451640261115905	Two killed as powerful earthquake hits New Zealand	injured_or_dead_people
75	797994571279929344	PM flying over the scene surveying the damage #eqnz	infrastructure_and_utility_damage
92	798029701994266624	PM not ruled out creating Minister to oversee quake recovery. Told @CheckpointRNZ damage so significant cant be left to locals #eqnz	infrastructure_and_utility_damage
99	797812997179711489	Ringing in my ears as if I can hear the tsunami warnings from here, stay safe everyone! #evacuate drive slowly, #worried #eqnz #resilience	sympathy_and_support
100	797885411230097408	#New Zealand PM John Key says 2 people killed in earthquake; sending military helicopter to Kaikoura - Reuters	injured_or_dead_people
104	800457247847419905	But well make that decision when we see how were looking in the polls, ppl with earthquake damage wont mind waiting	not_humanitarian
117	798749185189167104	More on the revised magnitude - #eqnz #nzearthquake	not_humanitarian
134	797911062171435009	R2D2 helping clean up the water damage from last nights #eqnz	rescue_volunteering_or_donation_effort
143	797976873783283712	MainPower crews are still assessing damage in the Culverden and Cheviot areas where about 1200 homes remain without electricity #EQNZ	infrastructure_and_utility_damage
146	798463724189151232	So many aftershocks. #eqnz #NewZealand	not_humanitarian
171	797810541389451264	RT @caity_petersonn: Tune in to One News. They are reporting on earthquake and tsunami warnings now. #eqnz #onenews	caution_and_advice
178	798004400870412288	RT @BBCWorld: Aerial footage of New Zealand earthquake damage	infrastructure_and_utility_damage
188	798061479186427905	RT @daisy_hudson: As Im watching the news, Im feeling very very thankful for the many emergency service staff who have been on deck today	sympathy_and_support
220	797876816304189441	Boy, these aftershocks are strong #eqnz	other_relevant_information
222	798007105634508800	Strong winds &amp; heavy rain on the way for Lower North &amp; Upper South - areas hit by #nzearthquake:  #eqnz #NewZealand	caution_and_advice
226	800445573031563264	RT @MarlEmergency: Post #eqnz recovery information for Blenheim, Seddon &amp; Ward:	not_humanitarian
