class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.5257731958762887,0.010309278350515464,0.13402061855670103,0.030927835051546393,0.0,0.041237113402061855,0.041237113402061855,0.010309278350515464,0.15463917525773196,0.05154639175257732
displaced_people_and_evacuations,0.0,0.7948717948717948,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.0,0.0
infrastructure_and_utility_damage,0.004830917874396135,0.028985507246376812,0.7439613526570048,0.00966183574879227,0.0,0.033816425120772944,0.04830917874396135,0.03864734299516908,0.04830917874396135,0.043478260869565216
injured_or_dead_people,0.0,0.04330708661417323,0.01968503937007874,0.8346456692913385,0.0,0.023622047244094488,0.027559055118110236,0.03543307086614173,0.007874015748031496,0.007874015748031496
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.014527845036319613,0.007263922518159807,0.002421307506053269,0.002421307506053269,0.0,0.7675544794188862,0.17191283292978207,0.002421307506053269,0.021791767554479417,0.009685230024213076
rescue_volunteering_or_donation_effort,0.002995008319467554,0.017304492512479203,0.01697171381031614,0.0066555740432612314,0.0006655574043261231,0.07787021630615641,0.7590682196339434,0.029284525790349417,0.06289517470881864,0.026289517470881863
sympathy_and_support,0.003418803418803419,0.008547008547008548,0.005128205128205128,0.0,0.0,0.08034188034188035,0.19145299145299147,0.6786324786324787,0.020512820512820513,0.011965811965811967
other_relevant_information,0.059790732436472344,0.03587443946188341,0.21973094170403587,0.01195814648729447,0.0014947683109118087,0.04633781763826607,0.11061285500747384,0.06278026905829596,0.28998505231689087,0.16143497757847533
not_humanitarian,0.01567398119122257,0.018808777429467086,0.05642633228840126,0.009404388714733543,0.003134796238244514,0.034482758620689655,0.05329153605015674,0.05642633228840126,0.22570532915360503,0.5266457680250783
